open,volume
0.586,558954
0.589,578564
0.661,548267
0.625,426422
0.608,550094
0.667,554349
0.658,535150
0.644,577626
0.571,533666
0.591,533410
0.612,570216
0.586,597241
0.567,577702
0.587,564001
0.58,560691
0.618,583635
0.69,591235
0.646,544917
0.665,555209
0.733,534958
